"response__warnings__warning","response__warnings__description","response__total","response__dateFormat","response__frequency","response__data__period","response__data__subba","response__data__subba-name","response__data__parent","response__data__parent-name","response__data__value","response__data__value-units","response__description","request__command","request__params__frequency","request__params__data__-","request__params__sort__column","request__params__sort__direction","request__params__offset","request__params__length","request__params__api_key","apiVersion"
"","","","","","2023-07-24T07","SCE","Southern California Edison","CISO","California Independent System Operator","14839","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T07","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","74","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","73","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1411","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","53","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","Frep","Freeport","PNM","Public Service Company of New Mexico","34","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","28","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","SCE","Southern California Edison","CISO","California Independent System Operator","15628","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","2","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","29","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","VEA","Valley Electric Association","CISO","California Independent System Operator","103","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","309","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2696","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T06","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","15726","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","4879","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","32","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","676","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","1215","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","5979","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","1725","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","332","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","3057","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","INDN","Independence Power & Light","SWPP","Southwest Power Pool","155","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","18313","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","852","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","SECI","Sunflower Electric","SWPP","Southwest Power Pool","788","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","SCE","Southern California Edison","CISO","California Independent System Operator","15896","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2715","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","2253","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","LES","Lincoln Electric System","SWPP","Southwest Power Pool","451","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1227","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1522","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","334","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","11134","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","WR","Westar Energy","SWPP","Southwest Power Pool","4242","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","4701","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","6","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","9449","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","3794","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","30","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","10645","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","75","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","2","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","VEA","Valley Electric Association","CISO","California Independent System Operator","114","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","16281","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","SPRM","City of Springfield","SWPP","Southwest Power Pool","455","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","Frep","Freeport","PNM","Public Service Company of New Mexico","37","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","21678","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","4","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","5431","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T05","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","55","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","794","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZONF","Capital","NYIS","New York Independent System Operator","1418","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZONI","Dunwoodie","NYIS","New York Independent System Operator","747","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZONB","Genesee","NYIS","New York Independent System Operator","1104","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","359","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","12128","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1317","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","1884","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","23250","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","4","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","5834","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","16764","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZONK","Long Island","NYIS","New York Independent System Operator","3074","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZONG","Hudson Valley","NYIS","New York Independent System Operator","1231","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","56","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","VEA","Valley Electric Association","CISO","California Independent System Operator","123","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","2471","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","1338","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","841","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","WR","Westar Energy","SWPP","Southwest Power Pool","4644","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","749","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","76","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","INDN","Independence Power & Light","SWPP","Southwest Power Pool","173","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","3999","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","5063","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","LES","Lincoln Electric System","SWPP","Southwest Power Pool","498","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","5105","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZONH","Millwood","NYIS","New York Independent System Operator","372","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","18717","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","SECI","Sunflower Electric","SWPP","Southwest Power Pool","831","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","30","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","6495","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","3","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZONJ","New York City","NYIS","New York Independent System Operator","6717","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","3233","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","11349","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","SCE","Southern California Edison","CISO","California Independent System Operator","15816","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZONA","West","NYIS","New York Independent System Operator","1796","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","352","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2615","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","6","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","10072","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZOND","North","NYIS","New York Independent System Operator","606","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1664","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","ZONC","Central","NYIS","New York Independent System Operator","1734","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","SPRM","City of Springfield","SWPP","Southwest Power Pool","498","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","35","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T04","Frep","Freeport","PNM","Public Service Company of New Mexico","35","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","12978","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","19720","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","SPRM","City of Springfield","SWPP","Southwest Power Pool","540","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZOND","North","NYIS","New York Independent System Operator","639","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","SCE","Southern California Edison","CISO","California Independent System Operator","15851","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","5357","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","5314","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1408","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","4139","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","SECI","Sunflower Electric","SWPP","Southwest Power Pool","869","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","LES","Lincoln Electric System","SWPP","Southwest Power Pool","541","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZONA","West","NYIS","New York Independent System Operator","1912","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","873","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","57","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZONC","Central","NYIS","New York Independent System Operator","1874","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZONB","Genesee","NYIS","New York Independent System Operator","1185","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","381","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","4","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","6266","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","30","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1775","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","373","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","80","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","WR","Westar Energy","SWPP","Southwest Power Pool","4982","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","6","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","10898","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","1490","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","24612","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","810","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","862","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2477","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZONG","Hudson Valley","NYIS","New York Independent System Operator","1344","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZONF","Capital","NYIS","New York Independent System Operator","1539","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","3362","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","12102","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","23","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","3","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZONK","Long Island","NYIS","New York Independent System Operator","3354","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","INDN","Independence Power & Light","SWPP","Southwest Power Pool","193","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","2022","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZONI","Dunwoodie","NYIS","New York Independent System Operator","798","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","2662","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZONJ","New York City","NYIS","New York Independent System Operator","7050","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","Frep","Freeport","PNM","Public Service Company of New Mexico","35","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","ZONH","Millwood","NYIS","New York Independent System Operator","402","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","VEA","Valley Electric Association","CISO","California Independent System Operator","132","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","7006","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T03","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","16808","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","4201","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","2770","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","Frep","Freeport","PNM","Public Service Company of New Mexico","35","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1465","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","6","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","11414","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","58","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZONA","West","NYIS","New York Independent System Operator","2012","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZONB","Genesee","NYIS","New York Independent System Operator","1270","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","892","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","3","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","SPRM","City of Springfield","SWPP","Southwest Power Pool","567","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","385","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","868","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZONG","Hudson Valley","NYIS","New York Independent System Operator","1456","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2283","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","VEA","Valley Electric Association","CISO","California Independent System Operator","135","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","20","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZONJ","New York City","NYIS","New York Independent System Operator","7241","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","7410","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","INDN","Independence Power & Light","SWPP","Southwest Power Pool","204","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","WR","Westar Energy","SWPP","Southwest Power Pool","5192","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","16259","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZONH","Millwood","NYIS","New York Independent System Operator","436","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","LES","Lincoln Electric System","SWPP","Southwest Power Pool","566","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZONI","Dunwoodie","NYIS","New York Independent System Operator","847","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZONF","Capital","NYIS","New York Independent System Operator","1667","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","382","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","5572","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","30","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","4","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","6552","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","2118","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","20408","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZOND","North","NYIS","New York Independent System Operator","655","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZONK","Long Island","NYIS","New York Independent System Operator","3585","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","SCE","Southern California Edison","CISO","California Independent System Operator","15942","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","78","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","1568","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","947","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","ZONC","Central","NYIS","New York Independent System Operator","2010","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","5444","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","SECI","Sunflower Electric","SWPP","Southwest Power Pool","875","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","13387","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","3391","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1864","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","25652","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T02","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","12543","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T01","VEA","Valley Electric Association","CISO","California Independent System Operator","147","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T01","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1567","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T01","LES","Lincoln Electric System","SWPP","Southwest Power Pool","595","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T01","ZONJ","New York City","NYIS","New York Independent System Operator","7214","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T01","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2109","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T01","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","5893","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T01","ZONA","West","NYIS","New York Independent System Operator","2061","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T01","ZONC","Central","NYIS","New York Independent System Operator","2081","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T01","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","3","megawatthours","","","","","","","","","",""
"","","","","","2023-07-24T01","4","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","6817","megawatthours","","","","","","","","","",""
